incident_id,incident_title,incident_description,incident_type,asset_type,business_impact,user_privilege,recommended_action_ids,outcome
INC-842bf3b7,Ransomware incident reported,Critical alert: Risk of extended system downtime detected. Root cause appears to be sudden loss of file access as noted by detected after file access failures.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-ddb36505,Phishing incident reported,Incident Log: suspicious email campaigns was identified via flagged during security awareness review. This has resulted in credential compromise.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-32b66f54,Phishing incident reported,Critical alert: Risk of identity misuse detected. Root cause appears to be employees reporting deceptive emails as noted by reported by employees.,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-dc2d7da6,Malware incident reported,Incident Log: unusual system slowdown was identified via reported by an end user. This has resulted in potential data exposure.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-e65bb697,Phishing incident reported,"identified through user complaints flagged users entering credentials on suspicious links, posing an immediate risk of identity misuse.",Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-96c3bfee,Malware incident reported,Critical alert: Risk of potential data exposure detected. Root cause appears to be high CPU usage by unknown executables as noted by identified during routine system monitoring.,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-cb00b119,Malware incident reported,SECURITY EVENT: high CPU usage by unknown executables // SOURCE: reported by an end user // IMPACT: potential data exposure,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-631575bf,Ransomware incident reported,Incident Log: sudden loss of file access was identified via identified by system administrators. This has resulted in operational paralysis.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Failure
INC-e2631800,Data Breach incident reported,SECURITY EVENT: unauthorized database queries // SOURCE: detected during a security audit // IMPACT: legal and financial impact,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-df7fbe82,Data Breach incident reported,Incident Log: abnormal data access patterns was identified via reported by monitoring teams. This has resulted in legal and financial impact.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-cf3eef56,Ransomware incident reported,Incident Log: inaccessible system data was identified via identified by system administrators. This has resulted in business disruption.,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-d13bd771,Ransomware incident reported,SECURITY EVENT: unauthorized encryption activity // SOURCE: discovered during incident escalation // IMPACT: data loss,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-ff398aaf,Denial of Service incident reported,"reported by service owners flagged degraded service performance, posing an immediate risk of customer impact.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-0f988e77,Insider Misuse incident reported,"reported by internal teams flagged repeated access to restricted resources, posing an immediate risk of loss of data integrity.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-d385447e,Denial of Service incident reported,SECURITY EVENT: network congestion from excessive requests // SOURCE: reported by service owners // IMPACT: customer impact,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Failure
INC-d3385457,Malware incident reported,SECURITY EVENT: high CPU usage by unknown executables // SOURCE: identified during routine system monitoring // IMPACT: credential compromise,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-0b8b68a4,Denial of Service incident reported,Incident Log: network congestion from excessive requests was identified via reported by service owners. This has resulted in business continuity issues.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-d70066c5,Data Breach incident reported,Critical alert: Risk of legal and financial impact detected. Root cause appears to be large volumes of data extraction as noted by identified through abnormal access logs.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-a8cc63c8,Ransomware incident reported,"reported during service disruption flagged sudden loss of file access, posing an immediate risk of operational paralysis.",Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-0e6b8b64,Phishing incident reported,"identified through user complaints flagged suspicious email campaigns, posing an immediate risk of unauthorized account access.",Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-1ccd1d8d,Malware incident reported,"flagged during security scanning flagged unauthorized software execution, posing an immediate risk of potential data exposure.",Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-81c2f914,Malware incident reported,Incident Log: frequent application crashes was identified via flagged during security scanning. This has resulted in potential data exposure.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-b94e47f9,Insider Misuse incident reported,Incident Log: access beyond job responsibilities was identified via detected during privilege audits. This has resulted in policy violations.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-3847a9ed,Denial of Service incident reported,Critical alert: Risk of availability loss detected. Root cause appears to be service unavailability due to traffic spikes as noted by detected after service outages.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-aba63250,Ransomware incident reported,"detected after file access failures flagged encrypted files across multiple directories, posing an immediate risk of business disruption.",Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-85c11ce3,Phishing incident reported,SECURITY EVENT: users entering credentials on suspicious links // SOURCE: identified through user complaints // IMPACT: credential compromise,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-5f473422,Denial of Service incident reported,Incident Log: resource exhaustion on network devices was identified via identified by network monitoring tools. This has resulted in business continuity issues.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-54606902,Insider Misuse incident reported,Incident Log: unauthorized internal data access was identified via detected during privilege audits. This has resulted in loss of data integrity.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-57912c24,Ransomware incident reported,SECURITY EVENT: appearance of ransom notes // SOURCE: reported during service disruption // IMPACT: extended system downtime,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-4e3fea91,Insider Misuse incident reported,SECURITY EVENT: access beyond job responsibilities // SOURCE: discovered during policy enforcement checks // IMPACT: loss of data integrity,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-acac50d2,Denial of Service incident reported,"observed during traffic analysis flagged degraded service performance, posing an immediate risk of business continuity issues.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-bf72449b,Malware incident reported,Incident Log: unexpected background processes was identified via detected by endpoint protection software. This has resulted in system instability.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-f9ac087d,Denial of Service incident reported,Critical alert: Risk of availability loss detected. Root cause appears to be network congestion from excessive requests as noted by reported by service owners.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Failure
INC-e9b3ebd4,Phishing incident reported,SECURITY EVENT: unexpected login prompts // SOURCE: detected during email analysis // IMPACT: risk of further attacks,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-89ddae3c,Ransomware incident reported,SECURITY EVENT: unauthorized encryption activity // SOURCE: reported during service disruption // IMPACT: data loss,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-2d58801f,Ransomware incident reported,"identified by system administrators flagged inaccessible system data, posing an immediate risk of business disruption.",Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-99673c02,Malware incident reported,SECURITY EVENT: frequent application crashes // SOURCE: flagged during security scanning // IMPACT: system instability,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-66b10fb8,Phishing incident reported,Critical alert: Risk of unauthorized account access detected. Root cause appears to be unexpected login prompts as noted by identified through user complaints.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-db0de1d9,Data Breach incident reported,"discovered during compliance review flagged large volumes of data extraction, posing an immediate risk of loss of customer trust.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-94446998,Phishing incident reported,Incident Log: unexpected login prompts was identified via identified through user complaints. This has resulted in unauthorized account access.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-b728561c,Ransomware incident reported,Critical alert: Risk of operational paralysis detected. Root cause appears to be unauthorized encryption activity as noted by discovered during incident escalation.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-8453aa31,Ransomware incident reported,Critical alert: Risk of data loss detected. Root cause appears to be unauthorized encryption activity as noted by identified by system administrators.,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-5bc064bb,Data Breach incident reported,SECURITY EVENT: large volumes of data extraction // SOURCE: detected during a security audit // IMPACT: loss of customer trust,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-6610cb41,Phishing incident reported,SECURITY EVENT: unexpected login prompts // SOURCE: detected during email analysis // IMPACT: credential compromise,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-b0b23d6e,Ransomware incident reported,Critical alert: Risk of extended system downtime detected. Root cause appears to be encrypted files across multiple directories as noted by reported during service disruption.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-74653958,Ransomware incident reported,Critical alert: Risk of business disruption detected. Root cause appears to be appearance of ransom notes as noted by identified by system administrators.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-aeeeef3d,Data Breach incident reported,"detected during a security audit flagged access from unfamiliar locations, posing an immediate risk of exposure of sensitive information.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-6970f2c3,Malware incident reported,Critical alert: Risk of potential data exposure detected. Root cause appears to be unauthorized software execution as noted by identified during routine system monitoring.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-1fd62480,Malware incident reported,Incident Log: frequent application crashes was identified via identified during routine system monitoring. This has resulted in risk of lateral movement.,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-f06de367,Data Breach incident reported,"reported by monitoring teams flagged large volumes of data extraction, posing an immediate risk of exposure of sensitive information.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-9a1afea9,Phishing incident reported,Incident Log: users entering credentials on suspicious links was identified via identified through user complaints. This has resulted in credential compromise.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-fed67d9b,Insider Misuse incident reported,"detected during privilege audits flagged unauthorized internal data access, posing an immediate risk of internal security risk.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-1f3c0924,Phishing incident reported,Incident Log: users entering credentials on suspicious links was identified via identified through user complaints. This has resulted in unauthorized account access.,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-d78d57e5,Denial of Service incident reported,Critical alert: Risk of service disruption detected. Root cause appears to be service unavailability due to traffic spikes as noted by observed during traffic analysis.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Failure
INC-3a066faf,Malware incident reported,SECURITY EVENT: high CPU usage by unknown executables // SOURCE: detected by endpoint protection software // IMPACT: system instability,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-848a1a3f,Insider Misuse incident reported,Critical alert: Risk of policy violations detected. Root cause appears to be misuse of privileged system access as noted by identified by access control review.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-e6aec088,Denial of Service incident reported,"identified by network monitoring tools flagged degraded service performance, posing an immediate risk of customer impact.",Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-d05652dc,Ransomware incident reported,Incident Log: encrypted files across multiple directories was identified via identified by system administrators. This has resulted in business disruption.,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-14b53ab9,Insider Misuse incident reported,SECURITY EVENT: access beyond job responsibilities // SOURCE: detected during privilege audits // IMPACT: internal security risk,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-8ad67095,Ransomware incident reported,SECURITY EVENT: unauthorized encryption activity // SOURCE: discovered during incident escalation // IMPACT: extended system downtime,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-85377fef,Ransomware incident reported,Incident Log: encrypted files across multiple directories was identified via detected after file access failures. This has resulted in data loss.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-72c83466,Phishing incident reported,SECURITY EVENT: users entering credentials on suspicious links // SOURCE: flagged during security awareness review // IMPACT: unauthorized account access,Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-3fc2c200,Insider Misuse incident reported,Critical alert: Risk of policy violations detected. Root cause appears to be misuse of privileged system access as noted by discovered during policy enforcement checks.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-690ff7ac,Phishing incident reported,Critical alert: Risk of risk of further attacks detected. Root cause appears to be users entering credentials on suspicious links as noted by detected during email analysis.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-6936e49f,Malware incident reported,SECURITY EVENT: high CPU usage by unknown executables // SOURCE: reported by an end user // IMPACT: risk of lateral movement,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-ad999d91,Insider Misuse incident reported,Critical alert: Risk of internal security risk detected. Root cause appears to be policy violations by internal users as noted by identified by access control review.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-ac150655,Malware incident reported,"reported by an end user flagged high CPU usage by unknown executables, posing an immediate risk of potential data exposure.",Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-bfb1239c,Data Breach incident reported,"reported by monitoring teams flagged access from unfamiliar locations, posing an immediate risk of legal and financial impact.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-cb697eba,Phishing incident reported,Incident Log: users entering credentials on suspicious links was identified via flagged during security awareness review. This has resulted in unauthorized account access.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-c8dad6f3,Malware incident reported,SECURITY EVENT: frequent application crashes // SOURCE: detected by endpoint protection software // IMPACT: system instability,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-b4980f63,Denial of Service incident reported,Critical alert: Risk of customer impact detected. Root cause appears to be network congestion from excessive requests as noted by observed during traffic analysis.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-5044f827,Insider Misuse incident reported,Incident Log: repeated access to restricted resources was identified via discovered during policy enforcement checks. This has resulted in internal security risk.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-9c5a757c,Data Breach incident reported,"detected during a security audit flagged abnormal data access patterns, posing an immediate risk of legal and financial impact.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-5fc1cc2b,Insider Misuse incident reported,Critical alert: Risk of unauthorized data access detected. Root cause appears to be repeated access to restricted resources as noted by identified by access control review.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-cbd2cf16,Denial of Service incident reported,Critical alert: Risk of business continuity issues detected. Root cause appears to be degraded service performance as noted by identified by network monitoring tools.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-b3760f58,Denial of Service incident reported,SECURITY EVENT: resource exhaustion on network devices // SOURCE: identified by network monitoring tools // IMPACT: business continuity issues,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-60e5507d,Ransomware incident reported,"identified by system administrators flagged sudden loss of file access, posing an immediate risk of data loss.",Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-48192906,Data Breach incident reported,Critical alert: Risk of regulatory non-compliance detected. Root cause appears to be unexpected access to sensitive records as noted by discovered during compliance review.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-7230ef59,Ransomware incident reported,SECURITY EVENT: inaccessible system data // SOURCE: reported during service disruption // IMPACT: extended system downtime,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-c93777ee,Malware incident reported,Incident Log: unusual system slowdown was identified via flagged during security scanning. This has resulted in risk of lateral movement.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-8244229a,Insider Misuse incident reported,Incident Log: policy violations by internal users was identified via discovered during policy enforcement checks. This has resulted in unauthorized data access.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-d92e44e7,Insider Misuse incident reported,Incident Log: unauthorized internal data access was identified via discovered during policy enforcement checks. This has resulted in policy violations.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-85667ee1,Malware incident reported,"identified during routine system monitoring flagged unexpected background processes, posing an immediate risk of risk of lateral movement.",Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-8f83c68a,Malware incident reported,"detected by endpoint protection software flagged unexpected background processes, posing an immediate risk of potential data exposure.",Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-a34e2e44,Data Breach incident reported,Critical alert: Risk of loss of customer trust detected. Root cause appears to be unauthorized database queries as noted by detected during a security audit.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-91172be3,Data Breach incident reported,"identified through abnormal access logs flagged unexpected access to sensitive records, posing an immediate risk of legal and financial impact.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-9eb90452,Data Breach incident reported,Incident Log: abnormal data access patterns was identified via discovered during compliance review. This has resulted in legal and financial impact.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-2974db7d,Denial of Service incident reported,Critical alert: Risk of customer impact detected. Root cause appears to be degraded service performance as noted by reported by service owners.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-ba996ddd,Ransomware incident reported,Critical alert: Risk of business disruption detected. Root cause appears to be encrypted files across multiple directories as noted by reported during service disruption.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-ff72fecf,Insider Misuse incident reported,"identified by access control review flagged access beyond job responsibilities, posing an immediate risk of internal security risk.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-667e4977,Data Breach incident reported,"reported by monitoring teams flagged large volumes of data extraction, posing an immediate risk of loss of customer trust.",Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
