incident_id,incident_title,incident_description,incident_type,asset_type,business_impact,user_privilege,recommended_action_ids,outcome
INC-67ebfc64,Insider Misuse incident reported,Analysis shows after-hours entry to sensitive systems; The incident was manager escalated suspicious employee behavior; Security team assesses damage to internal threat detection culture.,Insider Misuse,Server,Low,Admin,IR-CON-01;IR-POST-01;IR-ID-01;IR-CON-02,Success
INC-5af6c2fb,Data Breach incident reported,[ALERT] compliance audit revealed unverified connection || Observation: bulk export of customer records spotted || Risk: compliance violations requiring remediation,Data Breach,Database,High,Service Account,IR-LEGAL-01;IR-CON-02;IR-ID-02;IR-CON-01,Success
INC-bb2d3801,Insider Misuse incident reported,"Forensic analysis: privileged credentials used for personal purposes discovered through privileged access management workstation alerted, resulting in loss of trade secrets or proprietary information.",Insider Misuse,Database,Medium,Guest,IR-POST-01;IR-CON-02;IR-ID-02;IR-CON-01,Partial
INC-abe6be37,Denial of Service incident reported,response times degraded to unacceptable levels has been observed; This was customer complaints triggered investigation; The situation creates competitive disadvantage during downtime.,Denial of Service,Server,Medium,User,IR-CON-01;IR-ID-01;IR-BLOCK-01,Failure
INC-521ac99d,Denial of Service incident reported,What happened: CPU resources depleted on web servers; How discovered: network operations center observed traffic spike; Why concerning: competitive disadvantage during downtime.,Denial of Service,Network,High,Admin,IR-ID-01;IR-CON-01;IR-ID-02;IR-POST-01,Partial
INC-5cf558c0,Denial of Service incident reported,Security incident: service outage due to overwhelming traffic volume; Discovery method: traffic analysis identified attack signature; Impact assessment indicates competitive disadvantage during downtime.,Denial of Service,Server,High,Guest,IR-POST-01;IR-MIT-01;IR-CON-01,Success
INC-88697fa2,Ransomware incident reported,"Threat assessment: reputational damage to organization; Root cause identified as users unable to open documents and databases, which was account holder called helpdesk about inaccessible files.",Ransomware,Database,High,User,IR-POST-01;IR-ID-02;IR-ERA-01;IR-REC-01,Partial
INC-c6695993,Malware incident reported,"Event sequence: First, IT administrator noticed during routine check. Investigation revealed memory usage spiking due to hidden processes. Resulting in operational interference for affected users.",Malware,Server,Medium,Guest,IR-ID-01;IR-ERA-01;IR-CON-01;IR-SCAN-01,Partial
INC-45d1137a,Insider Misuse incident reported,"Compliance alert: access control review revealed violations documented privileged credentials used for personal purposes, leading to suspected espionage or competitor collaboration.",Insider Misuse,Server,Medium,User,IR-CON-02;IR-POST-01;IR-CON-01;IR-ID-02;IR-ID-01,Partial
INC-7bb6d877,Data Breach incident reported,authentication bypass allowing unapproved usage - records loss prevention host triggered warning; This poses reputational harm and customer attrition.,Data Breach,Server,High,Guest,IR-ID-02;IR-POST-01;IR-ID-01,Success
INC-ac4e396b,Data Breach incident reported,Risk identified: forensic investigation and recovery costs. Contributing factor: privileged account accessing unrelated datasets. Detection source: threat hunting exercise uncovered breach.,Data Breach,Server,Critical,Admin,IR-ID-02;IR-LEGAL-01;IR-NOTIF-01;IR-CON-02;IR-ID-01,Success
INC-db2980b3,Malware incident reported,Analysis shows unexpected outbound network connections initiated; The incident was endpoint protection agent raised alert; Security team assesses possible installation of additional malware.,Malware,Application,Medium,Guest,IR-CON-01;IR-ID-02;IR-SCAN-01;IR-ERA-01,Partial
INC-56a60f15,Phishing incident reported,"Threat assessment: unsanctioned access to email and applications. Root cause identified as fake login page harvesting user passwords, which was email gateway quarantined message automatically.",Phishing,Endpoint,Medium,Guest,IR-EDU-01;IR-CON-02;IR-ID-02,Success
INC-0dd2d687,Malware incident reported,Security incident: endpoint experiencing severe performance degradation; Discovery method: behavioral analysis flagged suspicious events; Impact assessment indicates system instability affecting productivity.,Malware,Endpoint,Low,Admin,IR-SCAN-01;IR-POST-01;IR-ID-02;IR-ID-01;IR-CON-01,Success
INC-a0478788,Malware incident reported,Risk identified: potential lateral movement across network; Contributing factor: legitimate software behaving abnormally; Detection source: security operations center uncovered anomaly.,Malware,Endpoint,Medium,Service Account,IR-ERA-01;IR-POST-01;IR-ID-01;IR-SCAN-01;IR-ID-02,Success
INC-301521e7,Ransomware incident reported,"Investigation timeline: automated machine flagged suspicious file activity, revealing rapid file modification event detected on server. Potential consequences include ransom payment consideration by leadership.",Ransomware,Server,High,Guest,IR-ERA-01;IR-ID-02;IR-ID-01,Partial
INC-46635d76,Phishing incident reported,[ALERT] account holder escalated unexpected authentication prompt || Observation: malicious email campaign targeting finance team || Risk: compromised credentials enabling further attacks,Phishing,Network,Low,Admin,IR-ID-01;IR-POST-01;IR-ID-02;IR-CON-01;IR-CON-02,Partial
INC-ab3add0b,Denial of Service incident reported,"Compliance alert: service owner escalated performance issues documented distributed attack targeting public endpoints, leading to suspected for files breach during distraction.",Denial of Service,Application,High,User,IR-CON-01;IR-BLOCK-01;IR-POST-01;IR-MIT-01;IR-ID-01,Success
INC-4da7196f,Data Breach incident reported,"URGENT: log analysis identified suspicious queries detected database administrator credentials compromised, which threatens regulatory fines and legal liability.",Data Breach,Database,Critical,Service Account,IR-LEGAL-01;IR-ID-02;IR-CON-01;IR-NOTIF-01,Success
INC-e6a7012c,Data Breach incident reported,authentication bypass allowing unpermitted usage - compliance audit revealed unsanctioned usage; This poses mandatory breach notification to affected parties.,Data Breach,Server,Medium,Admin,IR-POST-01;IR-NOTIF-01;IR-CON-02,Partial
INC-5d3ca58c,Phishing incident reported,brand impersonation uncovered in email headers - email gateway quarantined message automatically; This poses loss of customer trust and confidence.,Phishing,Application,Low,Service Account,IR-EDU-01;IR-CON-02;IR-ID-01;IR-ID-02,Success
INC-be710dde,Malware incident reported,[ALERT] endpoint protection agent raised alert || Observation: unknown executable consuming excessive CPU resources || Risk: possible lateral movement across network,Malware,Endpoint,Low,Guest,IR-POST-01;IR-SCAN-01;IR-ID-02;IR-ID-01;IR-CON-01,Partial
INC-8de3799b,Phishing incident reported,brand impersonation caught in email headers - email analysis revealed malicious indicators; This poses sensitive information disclosure anticipated.,Phishing,Network,Medium,Guest,IR-ID-02;IR-CON-01;IR-EDU-01,Success
INC-6576fc80,Insider Misuse incident reported,downloading confidential information to personal device - manager escalated suspicious employee patterns; This poses need for human resources investigation.,Insider Misuse,Server,Low,User,IR-HR-01;IR-CON-01;IR-ID-02,Success
INC-4218f4d5,Data Breach incident reported,"Investigation timeline: anomaly detection workstation flagged irregular pattern, revealing sensitive information accessed from atypical location. Potential consequences include mandatory breach notification to affected parties.",Data Breach,Database,Critical,Admin,IR-LEGAL-01;IR-CON-01;IR-NOTIF-01;IR-ID-02;IR-POST-01,Partial
INC-a6311009,Phishing incident reported,Risk identified: loss of customer trust and confidence; Contributing factor: domain name similar to legitimate site accessed; Detection source: protective awareness training prompted personnel report.,Phishing,Endpoint,Medium,Guest,IR-CON-01;IR-EDU-01;IR-CON-02,Success
INC-64bec5cc,Data Breach incident reported,"URGENT: log analysis identified suspicious queries detected authentication bypass allowing unauthorized interaction, which threatens compliance violations requiring remediation.",Data Breach,Application,High,User,IR-CON-02;IR-ID-02;IR-CON-01,Success
INC-601e8565,Data Breach incident reported,"Compliance alert: safety information and event management alerted documented personally identifiable information extracted, leading to reputational harm and customer attrition.",Data Breach,Server,Critical,User,IR-POST-01;IR-CON-02;IR-CON-01,Success
INC-fb28d2b5,Malware incident reported,unknown executable consuming excessive CPU resources has been observed. This was heuristic engine caught unknown malware variant. The situation creates credential theft and records exfiltration exposure.,Malware,Endpoint,Medium,Admin,IR-SCAN-01;IR-ID-02;IR-CON-01;IR-ERA-01,Success
INC-3406a074,Denial of Service incident reported,"Forensic analysis: legitimate users unable to access services discovered through service availability observation uncovered outage, resulting in revenue loss from service unavailability.",Denial of Service,Network,High,Guest,IR-ID-02;IR-POST-01;IR-MIT-01,Success
INC-59796981,Denial of Service incident reported,legitimate users unable to interaction services - service owner escalated performance issues. This poses competitive disadvantage during downtime.,Denial of Service,Server,Medium,Admin,IR-POST-01;IR-ID-02;IR-MIT-01;IR-BLOCK-01;IR-ID-01,Success
INC-50126fb5,Insider Misuse incident reported,Risk identified: legal action against employee possible; Contributing factor: unusual content connection patterns by trusted personnel; Detection source: interaction control review revealed violations.,Insider Misuse,Database,Medium,User,IR-ID-01;IR-HR-01;IR-CON-02,Partial
INC-e734ad8f,Denial of Service incident reported,"Compliance alert: load balancer notified abnormal request volume documented distributed attack targeting public endpoints, leading to potential for datasets breach during distraction.",Denial of Service,Network,High,User,IR-BLOCK-01;IR-ID-01;IR-CON-01,Success
INC-daa13ca4,Phishing incident reported,[ALERT] domain reputation check flagged spoofed site || Observation: malicious email campaign targeting finance team || Risk: loss of customer trust and confidence,Phishing,Network,High,Guest,IR-ID-01;IR-ID-02;IR-POST-01;IR-CON-02;IR-CON-01,Success
INC-ec0dffc9,Denial of Service incident reported,What happened: CPU resources depleted on web servers; How discovered: service availability monitoring observed outage; Why concerning: employee productivity impacted significantly.,Denial of Service,Network,High,Admin,IR-CON-01;IR-ID-02;IR-BLOCK-01;IR-POST-01,Success
INC-cac92ff2,Phishing incident reported,"Threat assessment: financial fraud through compromised accounts. Root cause identified as fake login page harvesting user passwords, which was employee forwarded suspicious email to IT.",Phishing,Endpoint,Medium,Service Account,IR-ID-01;IR-POST-01;IR-EDU-01;IR-CON-02;IR-CON-01,Success
INC-3ba56f4b,Data Breach incident reported,"Threat assessment: exposure of customer personally identifiable information; Root cause identified as API calls retrieving excessive amounts of datasets, which was threat detection information and event management alerted.",Data Breach,Server,Medium,Admin,IR-ID-01;IR-LEGAL-01;IR-POST-01,Success
INC-6290009d,Phishing incident reported,fake login page harvesting individual passwords has been observed; This was defensive awareness training prompted user report; The situation creates unauthorized access to email and applications.,Phishing,Endpoint,Medium,Service Account,IR-ID-01;IR-EDU-01;IR-CON-02;IR-POST-01;IR-ID-02,Success
INC-b81c8e63,Malware incident reported,"Compliance alert: endpoint protection agent raised alert documented files being altered without individual authorization, leading to system instability affecting productivity.",Malware,Server,High,Service Account,IR-ID-01;IR-ERA-01;IR-SCAN-01,Success
INC-20c6f53c,Denial of Service incident reported,"Compliance alert: infrastructure monitoring tools raised alarm documented network infrastructure saturated with requests, leading to employee productivity impacted significantly.",Denial of Service,Network,High,Admin,IR-BLOCK-01;IR-POST-01;IR-ID-02;IR-MIT-01;IR-CON-01,Partial
INC-75f7100d,Data Breach incident reported,"Compliance alert: threat hunting exercise uncovered breach documented bulk export of customer records identified, leading to forensic investigation and recovery costs.",Data Breach,Server,Medium,Guest,IR-ID-02;IR-NOTIF-01;IR-CON-02;IR-ID-01;IR-CON-01,Failure
INC-970dd04e,Denial of Service incident reported,What happened: CPU resources depleted on web servers. How discovered: infrastructure monitoring tools raised alarm. Why concerning: revenue loss from service unavailability.,Denial of Service,Server,High,Service Account,IR-ID-01;IR-CON-01;IR-ID-02;IR-MIT-01;IR-POST-01,Success
INC-f66abc72,Denial of Service incident reported,Analysis shows connection floods overwhelming firewall; The incident was traffic analysis identified attack signature; Security team assesses competitive disadvantage during downtime.,Denial of Service,Server,Medium,Service Account,IR-CON-01;IR-ID-02;IR-POST-01;IR-ID-01;IR-BLOCK-01,Success
INC-032cabe7,Phishing incident reported,What happened: credential entry on spoofed company website; How discovered: security team uncovered credential submission; Why concerning: loss of customer trust and confidence.,Phishing,Network,Low,Guest,IR-EDU-01;IR-ID-01;IR-CON-02;IR-CON-01,Partial
INC-8e167567,Ransomware incident reported,"Threat assessment: customer service capabilities degraded. Root cause identified as users unable to open documents and databases, which was automated workstation flagged suspicious file patterns.",Ransomware,Database,Medium,Guest,IR-ID-01;IR-POST-01;IR-REC-01;IR-ERA-01;IR-CON-01,Failure
INC-79b51c9a,Phishing incident reported,What happened: credential entry on spoofed company website; How discovered: protective team detected credential submission; Why concerning: loss of customer trust and confidence.,Phishing,Application,Medium,Service Account,IR-CON-02;IR-ID-01;IR-POST-01,Success
INC-d6238753,Phishing incident reported,"Threat assessment: identity theft and account takeover concern. Root cause identified as fake login page harvesting staff member passwords, which was email analysis revealed malicious indicators.",Phishing,Application,Low,User,IR-ID-01;IR-ID-02;IR-CON-02;IR-POST-01;IR-CON-01,Partial
INC-f48ea9b1,Phishing incident reported,"URGENT: user communicated unexpected authentication prompt detected fake login page harvesting individual passwords, which threatens identity theft and account takeover risk.",Phishing,Endpoint,Medium,User,IR-POST-01;IR-CON-02;IR-ID-01,Partial
INC-056ed1d5,Denial of Service incident reported,Analysis shows connection floods overwhelming firewall; The incident was customer complaints triggered investigation; Security team assesses competitive disadvantage during downtime.,Denial of Service,Application,Medium,User,IR-BLOCK-01;IR-MIT-01;IR-CON-01,Success
INC-ff37a03e,Denial of Service incident reported,Risk identified: service level agreement violations. Contributing factor: infrastructure collapsing under request volume. Detection source: infrastructure tracking tools raised alarm.,Denial of Service,Network,Medium,Service Account,IR-BLOCK-01;IR-MIT-01;IR-ID-02;IR-POST-01,Partial
INC-b854fe57,Data Breach incident reported,What happened: large data transfer to external IP address. How discovered: compliance audit revealed unauthorized interaction. Why concerning: forensic investigation and recovery costs.,Data Breach,Application,High,User,IR-POST-01;IR-LEGAL-01;IR-NOTIF-01;IR-CON-02;IR-ID-01,Success
INC-eafe9f8a,Ransomware incident reported,What happened: desktop wallpaper replaced with threat message; How discovered: automated machine flagged suspicious file activity; Why concerning: financial losses from downtime and recovery.,Ransomware,Endpoint,High,Guest,IR-ID-01;IR-POST-01;IR-REC-01,Failure
INC-bf9f0028,Malware incident reported,"Tactical assessment: suspicious process modifying system registry identified via defensive operations center detected anomaly, generating potential lateral movement across network.",Malware,Endpoint,Medium,User,IR-ERA-01;IR-CON-01;IR-SCAN-01;IR-ID-02,Success
INC-54b6699b,Denial of Service incident reported,"Forensic analysis: distributed attack targeting public endpoints discovered through service availability observation caught outage, resulting in revenue loss from service unavailability.",Denial of Service,Application,Medium,Guest,IR-MIT-01;IR-ID-01;IR-BLOCK-01;IR-ID-02;IR-POST-01,Success
INC-7dd1b1fb,Denial of Service incident reported,"Forensic analysis: infrastructure collapsing under request volume discovered through load balancer communicated abnormal request volume, resulting in competitive disadvantage during downtime.",Denial of Service,Application,Medium,User,IR-ID-02;IR-POST-01;IR-CON-01;IR-BLOCK-01;IR-MIT-01,Success
INC-55f3389a,Data Breach incident reported,Security incident: abnormal SQL queries executed against database; Discovery method: third-party security assessment found evidence; Impact assessment indicates exposure of customer personally identifiable information.,Data Breach,Database,High,Guest,IR-NOTIF-01;IR-ID-01;IR-ID-02,Success
INC-596aa1cf,Data Breach incident reported,audit logs showing irregular files retrieval has been observed. This was database operations monitoring found anomaly. The situation creates exposure of customer personally identifiable information.,Data Breach,Server,High,Guest,IR-ID-02;IR-POST-01;IR-CON-02;IR-ID-01;IR-LEGAL-01,Failure
INC-90f97663,Denial of Service incident reported,[ALERT] traffic analysis identified attack signature || Observation: network infrastructure saturated with requests || Risk: employee productivity impacted significantly,Denial of Service,Server,Critical,Admin,IR-BLOCK-01;IR-POST-01;IR-ID-01;IR-MIT-01;IR-CON-01,Partial
INC-03114ad9,Malware incident reported,Security incident: endpoint experiencing severe performance degradation; Discovery method: heuristic engine caught unknown malware variant; Impact assessment indicates machine instability affecting productivity.,Malware,Endpoint,Medium,Admin,IR-ERA-01;IR-SCAN-01;IR-POST-01,Success
INC-36b791d8,Denial of Service incident reported,"Tactical assessment: legitimate users unable to access services identified via infrastructure tracking tools raised alarm, generating customer dissatisfaction and complaints.",Denial of Service,Network,Critical,Service Account,IR-ID-01;IR-MIT-01;IR-ID-02;IR-CON-01,Success
INC-e2105dfe,Malware incident reported,Risk identified: anticipated lateral movement across network; Contributing factor: legitimate software behaving abnormally; Detection source: security operations center detected anomaly.,Malware,Application,Low,Guest,IR-ID-01;IR-ERA-01;IR-SCAN-01;IR-POST-01,Success
INC-a682400c,Ransomware incident reported,"Tactical assessment: desktop wallpaper replaced with threat message identified via server administrator observed encryption process, generating ransom payment consideration by leadership.",Ransomware,Endpoint,High,Service Account,IR-ID-02;IR-REC-01;IR-CON-01,Partial
INC-efa1d741,Phishing incident reported,Risk identified: loss of customer trust and confidence; Contributing factor: domain name similar to legitimate site accessed; Detection source: threat intelligence identified phishing campaign.,Phishing,Application,Medium,Service Account,IR-CON-01;IR-CON-02;IR-POST-01;IR-EDU-01,Success
INC-70c5dc70,Malware incident reported,"Event sequence: First, IT administrator noticed during routine check. Investigation revealed memory usage spiking due to hidden processes. Resulting in potential lateral movement across network.",Malware,Endpoint,Low,User,IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-7e4657b4,Malware incident reported,Risk identified: infrastructure instability affecting productivity. Contributing factor: legitimate software behaving abnormally. Detection source: endpoint protection agent raised alert.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-SCAN-01;IR-CON-01;IR-ERA-01,Partial
INC-006566cd,Phishing incident reported,"Event sequence: First, protective awareness training prompted user report. Investigation revealed email with urgent tone requesting sensitive data. Resulting in unauthorized entry to email and applications.",Phishing,Application,Medium,Service Account,IR-CON-02;IR-ID-02;IR-POST-01,Success
INC-ea3c9ace,Malware incident reported,Analysis shows unexpected outbound network connections initiated. The incident was automated scan identified threat signature. Security team assesses unapproved access to company resources.,Malware,Endpoint,Medium,Service Account,IR-SCAN-01;IR-CON-01;IR-POST-01,Partial
INC-3406fc90,Phishing incident reported,Security incident: employees submitting credentials to fraudulent portal. Discovery method: email gateway quarantined message automatically. Impact assessment indicates unsanctioned connection to email and applications.,Phishing,Network,Medium,Service Account,IR-ID-01;IR-ID-02;IR-CON-02;IR-EDU-01;IR-POST-01,Partial
INC-aba51e82,Insider Misuse incident reported,privileged credentials used for personal purposes has been observed. This was data classification system identified misuse. The situation creates loss of trade secrets or proprietary records.,Insider Misuse,Server,Medium,User,IR-POST-01;IR-ID-01;IR-ID-02;IR-CON-01,Success
INC-5aab7bfc,Ransomware incident reported,"Forensic analysis: users unable to open documents and databases discovered through account holder called helpdesk about inaccessible files, resulting in reputational damage to organization.",Ransomware,Database,High,Guest,IR-CON-01;IR-ERA-01;IR-ID-02;IR-ID-01,Failure
INC-a2a8325d,Phishing incident reported,"Executive summary - security team uncovered credential submission identified suspicious authentication requests from users, presenting business email compromise attempts possible.",Phishing,Network,Medium,Service Account,IR-EDU-01;IR-POST-01;IR-ID-02;IR-ID-01;IR-CON-01,Partial
INC-068000cb,Insider Misuse incident reported,"Executive summary - peer submitted concerning behavior to security identified administrator abusing elevated permissions, presenting legal action against employee possible.",Insider Misuse,Server,High,Admin,IR-ID-02;IR-CON-01;IR-ID-01;IR-HR-01,Partial
INC-4d5c4d57,Denial of Service incident reported,"Executive summary - infrastructure surveillance tools raised alarm identified distributed attack targeting public endpoints, presenting increased operational costs for mitigation.",Denial of Service,Application,Medium,Admin,IR-BLOCK-01;IR-ID-01;IR-ID-02;IR-MIT-01;IR-POST-01,Success
